Lesson,Exercise ID,Type,Prompt,Answer,Audio ID,Has Audio
w3_l2,w3_l2_tr_13,translate,"Թարգմանիր՝ "հետ"","back",000162,NO
w3_l2,w3_l2_mc_14,multiple_choice,"Ընտրիր "արագ"-ի թարգմանությունը","fast",000166,NO
w3_l2,w3_l2_tr_14,translate,"Թարգմանիր՝ "արագ"","fast",000172,NO
w3_l2,w3_l2_mc_15,multiple_choice,"Ընտրիր "դանդաղ"-ի թարգմանությունը","slow",000176,NO
w3_l2,w3_l2_tr_15,translate,"Թարգմանիր՝ "դանդաղ"","slow",000182,NO
w3_l2,w3_l2_mc_16,multiple_choice,"Ընտրիր "կանգնել"-ի թարգմանությունը","to stop",000186,NO
w3_l2,w3_l2_tr_16,translate,"Թարգմանիր՝ "կանգնել"","to stop",000192,NO
w3_l2,w3_l2_mc_17,multiple_choice,"Ընտրիր "գնալ"-ի թարգմանությունը","to go",000196,NO
w3_l2,w3_l2_tr_17,translate,"Թարգմանիր՝ "գնալ"","to go",000202,NO
w3_l2,w3_l2_mc_18,multiple_choice,"Ընտրիր "շրջել"-ի թարգմանությունը","to turn",000206,NO
w3_l2,w3_l2_tr_18,translate,"Թարգմանիր՝ "շրջել"","to turn",000212,NO
w3_l2,w3_l2_mc_19,multiple_choice,"Ընտրիր "կամուրջ"-ի թարգմանությունը","bridge",000216,NO
w3_l2,w3_l2_tr_19,translate,"Թարգմանիր՝ "կամուրջ"","bridge",000222,NO
w3_l2,w3_l2_mc_20,multiple_choice,"Ընտրիր "քիլոմետր"-ի թարգմանությունը","kilometer",000226,NO
w3_l2,w3_l2_tr_20,translate,"Թարգմանիր՝ "քիլոմետր"","kilometer",000232,NO
w3_l2,w3_l2_mc_21,multiple_choice,"Ընտրիր "քարտեզ"-ի թարգմանությունը","map",000236,NO
w3_l2,w3_l2_tr_21,translate,"Թարգմանիր՝ "քարտեզ"","map",000242,NO
w3_l2,w3_l2_mc_22,multiple_choice,"Ընտրիր "զբոսաշրջիկ"-ի թարգմանությունը","tourist",000246,NO
w3_l2,w3_l2_tr_22,translate,"Թարգմանիր՝ "զբոսաշրջիկ"","tourist",000252,NO
w3_l2,w3_l2_mc_23,multiple_choice,"Ընտրիր "կողքին"-ի թարգմանությունը","next to",000256,NO
w3_l2,w3_l2_tr_23,translate,"Թարգմանիր՝ "կողքին"","next to",000262,NO
w3_l2,w3_l2_mc_24,multiple_choice,"Ընտրիր "մոտ"-ի թարգմանությունը","near",000266,NO
w3_l2,w3_l2_tr_24,translate,"Թարգմանիր՝ "մոտ"","near",000272,NO
w3_l2,w3_l2_match,match_pairs,"Կապիր հայերեն բառերը անգլերեն թարգմանությունների հետ","",006124,NO
w3_l3,w3_l3_mc_0,multiple_choice,"Ընտրիր "հյուրանոց"-ի թարգմանությունը","hotel",000026,NO
w3_l3,w3_l3_tr_0,translate,"Թարգմանիր՝ "հյուրանոց"","hotel",000032,NO
w3_l3,w3_l3_mc_1,multiple_choice,"Ընտրիր "համար"-ի թարգմանությունը","room",000036,NO
w3_l3,w3_l3_tr_1,translate,"Թարգմանիր՝ "համար"","room",000042,NO
w3_l3,w3_l3_mc_2,multiple_choice,"Ընտրիր "ընդունարան"-ի թարգմանությունը","reception",000046,NO
w3_l3,w3_l3_tr_2,translate,"Թարգմանիր՝ "ընդունարան"","reception",000052,NO
w3_l3,w3_l3_mc_3,multiple_choice,"Ընտրիր "բանալի"-ի թարգմանությունը","key",000056,NO
w3_l3,w3_l3_tr_3,translate,"Թարգմանիր՝ "բանալի"","key",000062,NO
w3_l3,w3_l3_mc_4,multiple_choice,"Ընտրիր "հարկ"-ի թարգմանությունը","floor",000066,NO
w3_l3,w3_l3_tr_4,translate,"Թարգմանիր՝ "հարկ"","floor",000072,NO
w3_l3,w3_l3_mc_5,multiple_choice,"Ընտրիր "վերելակ"-ի թարգմանությունը","elevator",000076,NO
w3_l3,w3_l3_tr_5,translate,"Թարգմանիր՝ "վերելակ"","elevator",000082,NO
w3_l3,w3_l3_mc_6,multiple_choice,"Ընտրիր "աստիճան"-ի թարգմանությունը","stairs",000086,NO
w3_l3,w3_l3_tr_6,translate,"Թարգմանիր՝ "աստիճան"","stairs",000092,NO
w3_l3,w3_l3_mc_7,multiple_choice,"Ընտրիր "անկողին"-ի թարգմանությունը","bed",000096,NO
w3_l3,w3_l3_tr_7,translate,"Թարգմանիր՝ "անկողին"","bed",000102,NO
w3_l3,w3_l3_mc_8,multiple_choice,"Ընտրիր "լոգարան"-ի թարգմանությունը","bathroom",000106,NO
w3_l3,w3_l3_tr_8,translate,"Թարգմանիր՝ "լոգարան"","bathroom",000112,NO
w3_l3,w3_l3_mc_9,multiple_choice,"Ընտրիր "սրբիչ"-ի թարգմանությունը","towel",000116,NO
w3_l3,w3_l3_tr_9,translate,"Թարգմանիր՝ "սրբիչ"","towel",000122,NO
w3_l3,w3_l3_mc_10,multiple_choice,"Ընտրիր "օճառ"-ի թարգմանությունը","soap",000126,NO
w3_l3,w3_l3_tr_10,translate,"Թարգմանիր՝ "օճառ"","soap",000132,NO
w3_l3,w3_l3_mc_11,multiple_choice,"Ընտրիր "շամպուն"-ի թարգմանությունը","shampoo",000136,NO
w3_l3,w3_l3_tr_11,translate,"Թարգմանիր՝ "շամպուն"","shampoo",000142,NO
w3_l3,w3_l3_mc_12,multiple_choice,"Ընտրիր "նախաճաշ"-ի թարգմանությունը","breakfast",000146,NO
w3_l3,w3_l3_tr_12,translate,"Թարգմանիր՝ "նախաճաշ"","breakfast",000152,NO
w3_l3,w3_l3_mc_13,multiple_choice,"Ընտրիր "ճաշ"-ի թարգմանությունը","lunch",000156,NO
w3_l3,w3_l3_tr_13,translate,"Թարգմանիր՝ "ճաշ"","lunch",000162,NO
w3_l3,w3_l3_mc_14,multiple_choice,"Ընտրիր "ընթրիք"-ի թարգմանությունը","dinner",000166,NO
w3_l3,w3_l3_tr_14,translate,"Թարգմանիր՝ "ընթրիք"","dinner",000172,NO
w3_l3,w3_l3_mc_15,multiple_choice,"Ընտրիր "wifi"-ի թարգմանությունը","wifi",000176,NO
w3_l3,w3_l3_tr_15,translate,"Թարգմանիր՝ "wifi"","wifi",000182,NO
w3_l3,w3_l3_mc_16,multiple_choice,"Ընտրիր "կլիմայատար"-ի թարգմանությունը","air conditioner",000186,NO
w3_l3,w3_l3_tr_16,translate,"Թարգմանիր՝ "կլիմայատար"","air conditioner",000192,NO
w3_l3,w3_l3_mc_17,multiple_choice,"Ընտրիր "հեռուստացույց"-ի թարգմանությունը","TV",000196,NO
w3_l3,w3_l3_tr_17,translate,"Թարգմանիր՝ "հեռուստացույց"","TV",000202,NO
w3_l3,w3_l3_mc_18,multiple_choice,"Ընտրիր "պատուհան"-ի թարգմանությունը","window",000206,NO
w3_l3,w3_l3_tr_18,translate,"Թարգմանիր՝ "պատուհան"","window",000212,NO
w3_l3,w3_l3_mc_19,multiple_choice,"Ընտրիր "հանգիստ"-ի թարգմանությունը","quiet",000216,NO
w3_l3,w3_l3_tr_19,translate,"Թարգմանիր՝ "հանգիստ"","quiet",000222,NO
w3_l3,w3_l3_mc_20,multiple_choice,"Ընտրիր "աղմկոտ"-ի թարգմանությունը","noisy",000226,NO
w3_l3,w3_l3_tr_20,translate,"Թարգմանիր՝ "աղմկոտ"","noisy",000232,NO
w3_l3,w3_l3_mc_21,multiple_choice,"Ընտրիր "մաքուր"-ի թարգմանությունը","clean",000236,NO
w3_l3,w3_l3_tr_21,translate,"Թարգմանիր՝ "մաքուր"","clean",000242,NO
w3_l3,w3_l3_mc_22,multiple_choice,"Ընտրիր "կեղտոտ"-ի թարգմանությունը","dirty",000246,NO
w3_l3,w3_l3_tr_22,translate,"Թարգմանիր՝ "կեղտոտ"","dirty",000252,NO
w3_l3,w3_l3_mc_23,multiple_choice,"Ընտրիր "ամրագրում"-ի թարգմանությունը","reservation",000256,NO
w3_l3,w3_l3_tr_23,translate,"Թարգմանիր՝ "ամրագրում"","reservation",000262,NO
w3_l3,w3_l3_mc_24,multiple_choice,"Ընտրիր "հաշիվ"-ի թարգմանությունը","bill",000266,NO
w3_l3,w3_l3_tr_24,translate,"Թարգմանիր՝ "հաշիվ"","bill",000272,NO
w3_l3,w3_l3_match,match_pairs,"Կապիր հայերեն բառերը անգլերեն թարգմանությունների հետ","",006403,NO
w3_l4,w3_l4_mc_0,multiple_choice,"Ընտրիր "աջ"-ի թարգմանությունը","right",000026,NO
w3_l4,w3_l4_tr_0,translate,"Թարգմանիր՝ "աջ"","right",000032,NO
w3_l4,w3_l4_mc_1,multiple_choice,"Ընտրիր "ձախ"-ի թարգմանությունը","left",000036,NO
w3_l4,w3_l4_tr_1,translate,"Թարգմանիր՝ "ձախ"","left",000042,NO
w3_l4,w3_l4_mc_2,multiple_choice,"Ընտրիր "ուղիղ"-ի թարգմանությունը","straight",000046,NO
w3_l4,w3_l4_tr_2,translate,"Թարգմանիր՝ "ուղիղ"","straight",000052,NO
w3_l4,w3_l4_mc_3,multiple_choice,"Ընտրիր "հետ"-ի թարգմանությունը","back",000056,NO
w3_l4,w3_l4_tr_3,translate,"Թարգմանիր՝ "հետ"","back",000062,NO
w3_l4,w3_l4_mc_4,multiple_choice,"Ընտրիր "հյուսիս"-ի թարգմանությունը","north",000066,NO
w3_l4,w3_l4_tr_4,translate,"Թարգմանիր՝ "հյուսիս"","north",000072,NO
w3_l4,w3_l4_mc_5,multiple_choice,"Ընտրիր "հարավ"-ի թարգմանությունը","south",000076,NO
w3_l4,w3_l4_tr_5,translate,"Թարգմանիր՝ "հարավ"","south",000082,NO
w3_l4,w3_l4_mc_6,multiple_choice,"Ընտրիր "արևելք"-ի թարգմանությունը","east",000086,NO
w3_l4,w3_l4_tr_6,translate,"Թարգմանիր՝ "արևելք"","east",000092,NO
w3_l4,w3_l4_mc_7,multiple_choice,"Ընտրիր "արևմուտք"-ի թարգմանությունը","west",000096,NO
w3_l4,w3_l4_tr_7,translate,"Թարգմանիր՝ "արևմուտք"","west",000102,NO
w3_l4,w3_l4_mc_8,multiple_choice,"Ընտրիր "կողքին"-ի թարգմանությունը","next to",000106,NO
w3_l4,w3_l4_tr_8,translate,"Թարգմանիր՝ "կողքին"","next to",000112,NO
w3_l4,w3_l4_mc_9,multiple_choice,"Ընտրիր "դիմաց"-ի թարգմանությունը","in front of",000116,NO
w3_l4,w3_l4_tr_9,translate,"Թարգմանիր՝ "դիմաց"","in front of",000122,NO
w3_l4,w3_l4_mc_10,multiple_choice,"Ընտրիր "հետևում"-ի թարգմանությունը","behind",000126,NO
w3_l4,w3_l4_tr_10,translate,"Թարգմանիր՝ "հետևում"","behind",000132,NO
w3_l4,w3_l4_mc_11,multiple_choice,"Ընտրիր "մեջ"-ի թարգմանությունը","in",000136,NO
w3_l4,w3_l4_tr_11,translate,"Թարգմանիր՝ "մեջ"","in",000142,NO
w3_l4,w3_l4_mc_12,multiple_choice,"Ընտրիր "վրա"-ի թարգմանությունը","on",000146,NO
w3_l4,w3_l4_tr_12,translate,"Թարգմանիր՝ "վրա"","on",000152,NO
w3_l4,w3_l4_mc_13,multiple_choice,"Ընտրիր "տակ"-ի թարգմանությունը","under",000156,NO
w3_l4,w3_l4_tr_13,translate,"Թարգմանիր՝ "տակ"","under",000162,NO
w3_l4,w3_l4_mc_14,multiple_choice,"Ընտրիր "մոտ"-ի թարգմանությունը","near",000166,NO
w3_l4,w3_l4_tr_14,translate,"Թարգմանիր՝ "մոտ"","near",000172,NO
w3_l4,w3_l4_mc_15,multiple_choice,"Ընտրիր "հեռու"-ի թարգմանությունը","far",000176,NO
w3_l4,w3_l4_tr_15,translate,"Թարգմանիր՝ "հեռու"","far",000182,NO
w3_l4,w3_l4_mc_16,multiple_choice,"Ընտրիր "խաչմերուկ"-ի թարգմանությունը","crossroads",000186,NO
w3_l4,w3_l4_tr_16,translate,"Թարգմանիր՝ "խաչմերուկ"","crossroads",000192,NO
w3_l4,w3_l4_mc_17,multiple_choice,"Ընտրիր "անկյուն"-ի թարգմանությունը","corner",000196,NO
w3_l4,w3_l4_tr_17,translate,"Թարգմանիր՝ "անկյուն"","corner",000202,NO
w3_l4,w3_l4_mc_18,multiple_choice,"Ընտրիր "պողոտա"-ի թարգմանությունը","avenue",000206,NO
w3_l4,w3_l4_tr_18,translate,"Թարգմանիր՝ "պողոտա"","avenue",000212,NO
w3_l4,w3_l4_mc_19,multiple_choice,"Ընտրիր "փողոց"-ի թարգմանությունը","street",000216,NO
w3_l4,w3_l4_tr_19,translate,"Թարգմանիր՝ "փողոց"","street",000222,NO
w3_l4,w3_l4_mc_20,multiple_choice,"Ընտրիր "քարտեզ"-ի թարգմանությունը","map",000226,NO
w3_l4,w3_l4_tr_20,translate,"Թարգմանիր՝ "քարտեզ"","map",000232,NO
w3_l4,w3_l4_mc_21,multiple_choice,"Ընտրիր "կողմնացույց"-ի թարգմանությունը","compass",000236,NO
w3_l4,w3_l4_tr_21,translate,"Թարգմանիր՝ "կողմնացույց"","compass",000242,NO
w3_l4,w3_l4_mc_22,multiple_choice,"Ընտրիր "գալ"-ի թարգմանությունը","to come",000246,NO
w3_l4,w3_l4_tr_22,translate,"Թարգմանիր՝ "գալ"","to come",000252,NO
w3_l4,w3_l4_mc_23,multiple_choice,"Ընտրիր "գնալ"-ի թարգմանությունը","to go",000256,NO
w3_l4,w3_l4_tr_23,translate,"Թարգմանիր՝ "գնալ"","to go",000262,NO
w3_l4,w3_l4_mc_24,multiple_choice,"Ընտրիր "անցնել"-ի թարգմանությունը","to cross",000266,NO
w3_l4,w3_l4_tr_24,translate,"Թարգմանիր՝ "անցնել"","to cross",000272,NO
w3_l4,w3_l4_match,match_pairs,"Կապիր հայերեն բառերը անգլերեն թարգմանությունների հետ","",006682,NO
w3_l5,w3_l5_mc_0,multiple_choice,"Ընտրիր "գնացք"-ի թարգմանությունը","train",000026,NO
w3_l5,w3_l5_tr_0,translate,"Թարգմանիր՝ "գնացք"","train",000032,NO
w3_l5,w3_l5_mc_1,multiple_choice,"Ընտրիր "կայարան"-ի թարգմանությունը","station",000036,NO
w3_l5,w3_l5_tr_1,translate,"Թարգմանիր՝ "կայարան"","station",000042,NO
w3_l5,w3_l5_mc_2,multiple_choice,"Ընտրիր "հարթակ"-ի թարգմանությունը","platform",000046,NO
w3_l5,w3_l5_tr_2,translate,"Թարգմանիր՝ "հարթակ"","platform",000052,NO
w3_l5,w3_l5_mc_3,multiple_choice,"Ընտրիր "տոմս"-ի թարգմանությունը","ticket",000056,NO
w3_l5,w3_l5_tr_3,translate,"Թարգմանիր՝ "տոմս"","ticket",000062,NO
w3_l5,w3_l5_mc_4,multiple_choice,"Ընտրիր "վագոն"-ի թարգմանությունը","carriage",000066,NO
w3_l5,w3_l5_tr_4,translate,"Թարգմանիր՝ "վագոն"","carriage",000072,NO
w3_l5,w3_l5_mc_5,multiple_choice,"Ընտրիր "տեղ"-ի թարգմանությունը","seat",000076,NO
w3_l5,w3_l5_tr_5,translate,"Թարգմանիր՝ "տեղ"","seat",000082,NO
w3_l5,w3_l5_mc_6,multiple_choice,"Ընտրիր "ճանապարհ"-ի թարգմանությունը","route",000086,NO
w3_l5,w3_l5_tr_6,translate,"Թարգմանիր՝ "ճանապարհ"","route",000092,NO
w3_l5,w3_l5_mc_7,multiple_choice,"Ընտրիր "մեկնում"-ի թարգմանությունը","departure",000096,NO
w3_l5,w3_l5_tr_7,translate,"Թարգմանիր՝ "մեկնում"","departure",000102,NO
w3_l5,w3_l5_mc_8,multiple_choice,"Ընտրիր "ժամանում"-ի թարգմանությունը","arrival",000106,NO
w3_l5,w3_l5_tr_8,translate,"Թարգմանիր՝ "ժամանում"","arrival",000112,NO
w3_l5,w3_l5_mc_9,multiple_choice,"Ընտրիր "ուղիղ"-ի թարգմանությունը","direct",000116,NO
w3_l5,w3_l5_tr_9,translate,"Թարգմանիր՝ "ուղիղ"","direct",000122,NO
w3_l5,w3_l5_mc_10,multiple_choice,"Ընտրիր "անցում"-ի թարգմանությունը","transfer",000126,NO
w3_l5,w3_l5_tr_10,translate,"Թարգմանիր՝ "անցում"","transfer",000132,NO
w3_l5,w3_l5_mc_11,multiple_choice,"Ընտրիր "գիշերային"-ի թարգմանությունը","night",000136,NO
w3_l5,w3_l5_tr_11,translate,"Թարգմանիր՝ "գիշերային"","night",000142,NO
w3_l5,w3_l5_mc_12,multiple_choice,"Ընտրիր "ցերեկային"-ի թարգմանությունը","day",000146,NO
w3_l5,w3_l5_tr_12,translate,"Թարգմանիր՝ "ցերեկային"","day",000152,NO
w3_l5,w3_l5_mc_13,multiple_choice,"Ընտրիր "դանդաղ"-ի թարգմանությունը","slow",000156,NO
w3_l5,w3_l5_tr_13,translate,"Թարգմանիր՝ "դանդաղ"","slow",000162,NO
w3_l5,w3_l5_mc_14,multiple_choice,"Ընտրիր "արագ"-ի թարգմանությունը","fast",000166,NO
w3_l5,w3_l5_tr_14,translate,"Թարգմանիր՝ "արագ"","fast",000172,NO
w3_l5,w3_l5_mc_15,multiple_choice,"Ընտրիր "մետրո"-ի թարգմանությունը","metro",000176,NO
w3_l5,w3_l5_tr_15,translate,"Թարգմանիր՝ "մետրո"","metro",000182,NO
w3_l5,w3_l5_mc_16,multiple_choice,"Ընտրիր "էլեկտրագնացք"-ի թարգմանությունը","electric train",000186,NO
w3_l5,w3_l5_tr_16,translate,"Թարգմանիր՝ "էլեկտրագնացք"","electric train",000192,NO
w3_l5,w3_l5_mc_17,multiple_choice,"Ընտրիր "ուղեկից"-ի թարգմանությունը","conductor",000196,NO
w3_l5,w3_l5_tr_17,translate,"Թարգմանիր՝ "ուղեկից"","conductor",000202,NO
w3_l5,w3_l5_mc_18,multiple_choice,"Ընտրիր "հատատորեն"-ի թարգմանությունը","specifically",000206,NO
w3_l5,w3_l5_tr_18,translate,"Թարգմանիր՝ "հատատորեն"","specifically",000212,NO
w3_l5,w3_l5_mc_19,multiple_choice,"Ընտրիր "ուղևոր"-ի թարգմանությունը","passenger",000216,NO
w3_l5,w3_l5_tr_19,translate,"Թարգմանիր՝ "ուղևոր"","passenger",000222,NO
w3_l5,w3_l5_mc_20,multiple_choice,"Ընտրիր "դուռ"-ի թարգմանությունը","door",000226,NO
w3_l5,w3_l5_tr_20,translate,"Թարգմանիր՝ "դուռ"","door",000232,NO
w3_l5,w3_l5_mc_21,multiple_choice,"Ընտրիր "պատուհան"-ի թարգմանությունը","window",000236,NO
w3_l5,w3_l5_tr_21,translate,"Թարգմանիր՝ "պատուհան"","window",000242,NO
w3_l5,w3_l5_mc_22,multiple_choice,"Ընտրիր "բացել"-ի թարգմանությունը","to open",000246,NO
w3_l5,w3_l5_tr_22,translate,"Թարգմանիր՝ "բացել"","to open",000252,NO
w3_l5,w3_l5_mc_23,multiple_choice,"Ընտրիր "փակել"-ի թարգմանությունը","to close",000256,NO
w3_l5,w3_l5_tr_23,translate,"Թարգմանիր՝ "փակել"","to close",000262,NO
w3_l5,w3_l5_mc_24,multiple_choice,"Ընտրիր "նստել"-ի թարգմանությունը","to sit",000266,NO
w3_l5,w3_l5_tr_24,translate,"Թարգմանիր՝ "նստել"","to sit",000272,NO
w3_l5,w3_l5_match,match_pairs,"Կապիր հայերեն բառերը անգլերեն թարգմանությունների հետ","",006961,NO
w3_l6,w3_l6_mc_0,multiple_choice,"Ընտրիր "ավտոբուս"-ի թարգմանությունը","bus",000026,NO
w3_l6,w3_l6_tr_0,translate,"Թարգմանիր՝ "ավտոբուս"","bus",000032,NO
w3_l6,w3_l6_mc_1,multiple_choice,"Ընտրիր "կանգառ"-ի թարգմանությունը","stop",000036,NO
w3_l6,w3_l6_tr_1,translate,"Թարգմանիր՝ "կանգառ"","stop",000042,NO
w3_l6,w3_l6_mc_2,multiple_choice,"Ընտրիր "երթուղի"-ի թարգմանությունը","route",000046,NO
w3_l6,w3_l6_tr_2,translate,"Թարգմանիր՝ "երթուղի"","route",000052,NO
w3_l6,w3_l6_mc_3,multiple_choice,"Ընտրիր "համար"-ի թարգմանությունը","number",000056,NO
w3_l6,w3_l6_tr_3,translate,"Թարգմանիր՝ "համար"","number",000062,NO
w3_l6,w3_l6_mc_4,multiple_choice,"Ընտրիր "վարորդ"-ի թարգմանությունը","driver",000066,NO
w3_l6,w3_l6_tr_4,translate,"Թարգմանիր՝ "վարորդ"","driver",000072,NO
w3_l6,w3_l6_mc_5,multiple_choice,"Ընտրիր "տոմս"-ի թարգմանությունը","ticket",000076,NO
w3_l6,w3_l6_tr_5,translate,"Թարգմանիր՝ "տոմս"","ticket",000082,NO
w3_l6,w3_l6_mc_6,multiple_choice,"Ընտրիր "անցաթուղթ"-ի թարգմանությունը","pass",000086,NO
w3_l6,w3_l6_tr_6,translate,"Թարգմանիր՝ "անցաթուղթ"","pass",000092,NO
w3_l6,w3_l6_mc_7,multiple_choice,"Ընտրիր "կանգնել"-ի թարգմանությունը","to stop",000096,NO
w3_l6,w3_l6_tr_7,translate,"Թարգմանիր՝ "կանգնել"","to stop",000102,NO
w3_l6,w3_l6_mc_8,multiple_choice,"Ընտրիր "հաջորդ"-ի թարգմանությունը","next",000106,NO
w3_l6,w3_l6_tr_8,translate,"Թարգմանիր՝ "հաջորդ"","next",000112,NO
w3_l6,w3_l6_mc_9,multiple_choice,"Ընտրիր "նախորդ"-ի թարգմանությունը","previous",000116,NO
w3_l6,w3_l6_tr_9,translate,"Թարգմանիր՝ "նախորդ"","previous",000122,NO
w3_l6,w3_l6_mc_10,multiple_choice,"Ընտրիր "մարդաշատ"-ի թարգմանությունը","crowded",000126,NO
w3_l6,w3_l6_tr_10,translate,"Թարգմանիր՝ "մարդաշատ"","crowded",000132,NO
w3_l6,w3_l6_mc_11,multiple_choice,"Ընտրիր "դատարկ"-ի թարգմանությունը","empty",000136,NO
w3_l6,w3_l6_tr_11,translate,"Թարգմանիր՝ "դատարկ"","empty",000142,NO
w3_l6,w3_l6_mc_12,multiple_choice,"Ընտրիր "նստել"-ի թարգմանությունը","to sit",000146,NO
w3_l6,w3_l6_tr_12,translate,"Թարգմանիր՝ "նստել"","to sit",000152,NO
w3_l6,w3_l6_mc_13,multiple_choice,"Ընտրիր "կանգնել"-ի թարգմանությունը","to stand",000156,NO
w3_l6,w3_l6_tr_13,translate,"Թարգմանիր՝ "կանգնել"","to stand",000162,NO
w3_l6,w3_l6_mc_14,multiple_choice,"Ընտրիր "իջնել"-ի թարգմանությունը","to get off",000166,NO
w3_l6,w3_l6_tr_14,translate,"Թարգմանիր՝ "իջնել"","to get off",000172,NO
w3_l6,w3_l6_mc_15,multiple_choice,"Ընտրիր "բարձրանալ"-ի թարգմանությունը","to get on",000176,NO
w3_l6,w3_l6_tr_15,translate,"Թարգմանիր՝ "բարձրանալ"","to get on",000182,NO
w3_l6,w3_l6_mc_16,multiple_choice,"Ընտրիր "կենտրոն"-ի թարգմանությունը","center",000186,NO
w3_l6,w3_l6_tr_16,translate,"Թարգմանիր՝ "կենտրոն"","center",000192,NO
w3_l6,w3_l6_mc_17,multiple_choice,"Ընտրիր "արվարձան"-ի թարգմանությունը","suburb",000196,NO
w3_l6,w3_l6_tr_17,translate,"Թարգմանիր՝ "արվարձան"","suburb",000202,NO
w3_l6,w3_l6_mc_18,multiple_choice,"Ընտրիր "տրանսպորտ"-ի թարգմանությունը","transport",000206,NO
w3_l6,w3_l6_tr_18,translate,"Թարգմանիր՝ "տրանսպորտ"","transport",000212,NO
w3_l6,w3_l6_mc_19,multiple_choice,"Ընտրիր "հանրային"-ի թարգմանությունը","public",000216,NO
w3_l6,w3_l6_tr_19,translate,"Թարգմանիր՝ "հանրային"","public",000222,NO
w3_l6,w3_l6_mc_20,multiple_choice,"Ընտրիր "մարշրուտկա"-ի թարգմանությունը","minibus",000226,NO
w3_l6,w3_l6_tr_20,translate,"Թարգմանիր՝ "մարշրուտկա"","minibus",000232,NO
w3_l6,w3_l6_mc_21,multiple_choice,"Ընտրիր "տրոլեյբուս"-ի թարգմանությունը","trolleybus",000236,NO
w3_l6,w3_l6_tr_21,translate,"Թարգմանիր՝ "տրոլեյբուս"","trolleybus",000242,NO
w3_l6,w3_l6_mc_22,multiple_choice,"Ընտրիր "մետրո"-ի թարգմանությունը","metro",000246,NO
w3_l6,w3_l6_tr_22,translate,"Թարգմանիր՝ "մետրո"","metro",000252,NO
w3_l6,w3_l6_mc_23,multiple_choice,"Ընտրիր "քարտ"-ի թարգմանությունը","card",000256,NO
w3_l6,w3_l6_tr_23,translate,"Թարգմանիր՝ "քարտ"","card",000262,NO
w3_l6,w3_l6_mc_24,multiple_choice,"Ընտրիր "փոխվճար"-ի թարգմանությունը","transfer",000266,NO
w3_l6,w3_l6_tr_24,translate,"Թարգմանիր՝ "փոխվճար"","transfer",000272,NO
w3_l6,w3_l6_match,match_pairs,"Կապիր հայերեն բառերը անգլերեն թարգմանությունների հետ","",007240,NO
w3_l7,w3_l7_mc_0,multiple_choice,"Ընտրիր "զբոսաշրջիկ"-ի թարգմանությունը","tourist",000026,NO
w3_l7,w3_l7_tr_0,translate,"Թարգմանիր՝ "զբոսաշրջիկ"","tourist",000032,NO
w3_l7,w3_l7_mc_1,multiple_choice,"Ընտրիր "զբոսաշրջություն"-ի թարգմանությունը","tourism",000036,NO
w3_l7,w3_l7_tr_1,translate,"Թարգմանիր՝ "զբոսաշրջություն"","tourism",000042,NO
w3_l7,w3_l7_mc_2,multiple_choice,"Ընտրիր "թանգարան"-ի թարգմանությունը","museum",000046,NO
w3_l7,w3_l7_tr_2,translate,"Թարգմանիր՝ "թանգարան"","museum",000052,NO
w3_l7,w3_l7_mc_3,multiple_choice,"Ընտրիր "եկեղեցի"-ի թարգմանությունը","church",000056,NO
w3_l7,w3_l7_tr_3,translate,"Թարգմանիր՝ "եկեղեցի"","church",000062,NO
w3_l7,w3_l7_mc_4,multiple_choice,"Ընտրիր "վանք"-ի թարգմանությունը","monastery",000066,NO
w3_l7,w3_l7_tr_4,translate,"Թարգմանիր՝ "վանք"","monastery",000072,NO
w3_l7,w3_l7_mc_5,multiple_choice,"Ընտրիր "բերդ"-ի թարգմանությունը","fortress",000076,NO
w3_l7,w3_l7_tr_5,translate,"Թարգմանիր՝ "բերդ"","fortress",000082,NO
w3_l7,w3_l7_mc_6,multiple_choice,"Ընտրիր "քանդակ"-ի թարգմանությունը","sculpture",000086,NO
w3_l7,w3_l7_tr_6,translate,"Թարգմանիր՝ "քանդակ"","sculpture",000092,NO
w3_l7,w3_l7_mc_7,multiple_choice,"Ընտրիր "հուշարձան"-ի թարգմանությունը","monument",000096,NO
w3_l7,w3_l7_tr_7,translate,"Թարգմանիր՝ "հուշարձան"","monument",000102,NO
w3_l7,w3_l7_mc_8,multiple_choice,"Ընտրիր "այգի"-ի թարգմանությունը","park",000106,NO
w3_l7,w3_l7_tr_8,translate,"Թարգմանիր՝ "այգի"","park",000112,NO
w3_l7,w3_l7_mc_9,multiple_choice,"Ընտրիր "հրապարակ"-ի թարգմանությունը","square",000116,NO
w3_l7,w3_l7_tr_9,translate,"Թարգմանիր՝ "հրապարակ"","square",000122,NO
w3_l7,w3_l7_mc_10,multiple_choice,"Ընտրիր "էքսկուրսիա"-ի թարգմանությունը","tour",000126,NO
w3_l7,w3_l7_tr_10,translate,"Թարգմանիր՝ "էքսկուրսիա"","tour",000132,NO
w3_l7,w3_l7_mc_11,multiple_choice,"Ընտրիր "ուղեկցորդ"-ի թարգմանությունը","guide",000136,NO
w3_l7,w3_l7_tr_11,translate,"Թարգմանիր՝ "ուղեկցորդ"","guide",000142,NO
w3_l7,w3_l7_mc_12,multiple_choice,"Ընտրիր "տոմս"-ի թարգմանությունը","ticket",000146,NO
